Nama Parfum,Brand atau Produsen,Jenis,Kategori Aroma,Top Notes,Middle Notes,Base Notes,Kekuatan Aroma,Daya Tahan,Musim atau Cuaca,Harga,Ukuran Botol
Flowerbomb,Viktor & Rolf,EDP,Floral,Bergamot,Jasmine,Patchouli,Kuat,Lama,Musim Semi,Rp1.500.000,50ml
Bleu de Chanel,Chanel,EDT,Woody Aromatic,Citrus,Incense,Sandalwood,Sedang,Sedang,Semua Musim,Rp1.800.000,100ml
Light Blue,Dolce & Gabbana,EDT,Citrus Aromatic,Lemon,Apple,Musk,Ringan,Pendek,Musim Panas,Rp1.200.000,50ml
Black Orchid,Tom Ford,EDP,Oriental Floral,Black Truffle,Orchid,Patchouli,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.500.000,50ml
La Vie Est Belle,Lancôme,EDP,Gourmand,Iris,Jasmine,Praline,Kuat,Lama,Musim Gugur,Rp1.700.000,75ml
Acqua di Gio,Giorgio Armani,EDT,Aquatic,Marine Notes,Rosemary,Patchouli,Sedang,Sedang,Musim Panas,Rp1.400.000,100ml
J'adore,Dior,EDP,Floral Fruity,Pear,Jasmine,Vanilla,Kuat,Lama,Musim Semi,Rp2.000.000,50ml
Aventus,Creed,EDP,Fruity Chypre,Pineapple,Birch,Musk,Sangat Kuat,Sangat Lama,Semua Musim,Rp5.000.000,100ml
CK One,Calvin Klein,EDT,Citrus Aromatic,Pineapple,Jasmine,Musk,Ringan,Pendek,Musim Panas,Rp800.000,200ml
Angel,Mugler,EDP,Oriental Vanilla,Bergamot,Red Berries,Patchouli,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.200.000,50ml
Sauvage,Dior,EDT,Aromatic Fougere,Bergamot,Pepper,Ambroxan,Kuat,Lama,Semua Musim,Rp1.600.000,100ml
Chanel No. 5,Chanel,EDP,Aldehyde Floral,Aldehydes,Rose,Vanilla,Kuat,Lama,Semua Musim,Rp2.300.000,50ml
1 Million,Paco Rabanne,EDT,Spicy Leather,Grapefruit,Cinnamon,Leather,Kuat,Lama,Musim Dingin,Rp1.300.000,100ml
Shalimar,Guerlain,EDP,Oriental Vanilla,Bergamot,Iris,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp1.900.000,50ml
L'Homme,Yves Saint Laurent,EDT,Woody Spicy,Ginger,Cedar,Tonka Bean,Sedang,Sedang,Musim Gugur,Rp1.500.000,100ml
Euphoria,Calvin Klein,EDP,Oriental Floral,Pomegranate,Lotus,Mahogany,Kuat,Lama,Musim Gugur,Rp1.400.000,50ml
Terre d'Hermès,Hermès,EDT,Woody Spicy,Orange,Pepper,Benzoin,Kuat,Lama,Semua Musim,Rp2.000.000,100ml
Good Girl,Carolina Herrera,EDP,Oriental Floral,Almond,Tuberose,Cocoa,Kuat,Lama,Malam Hari,Rp1.800.000,50ml
Invictus,Paco Rabanne,EDT,Aquatic Woody,Grapefruit,Bay Leaf,Guaiac Wood,Kuat,Lama,Musim Panas,Rp1.400.000,100ml
Coco Mademoiselle,Chanel,EDP,Chypre Fruity,Orange,Rose,Patchouli,Kuat,Lama,Semua Musim,Rp2.200.000,50ml
The One,Dolce & Gabbana,EDP,Oriental Floral,Peach,Plum,Vanilla,Kuat,Lama,Malam Hari,Rp1.700.000,75ml
Eros,Versace,EDT,Aromatic Fougere,Mint,Apple,Vanilla,Kuat,Lama,Musim Dingin,Rp1.500.000,100ml
Mon Guerlain,Guerlain,EDP,Oriental Woody,Lavender,Jasmine,Vanilla,Kuat,Lama,Semua Musim,Rp1.800.000,50ml
La Nuit de L'Homme,Yves Saint Laurent,EDT,Oriental Spicy,Cardamom,Lavender,Cedar,Sedang,Sedang,Malam Hari,Rp1.600.000,100ml
Alien,Mugler,EDP,Oriental Woody,Jasmine,Cashmeran,Amber,Sangat Kuat,Sangat Lama,Malam Hari,Rp2.100.000,60ml
Le Male,Jean Paul Gaultier,EDT,Oriental Fougere,Mint,Lavender,Vanilla,Kuat,Lama,Semua Musim,Rp1.400.000,125ml
Miss Dior,Dior,EDP,Chypre Fruity,Bergamot,Rose,Patchouli,Kuat,Lama,Musim Semi,Rp2.000.000,50ml
Acqua di Parma Colonia,Acqua di Parma,EDC,Citrus Aromatic,Lemon,Lavender,Sandalwood,Sedang,Pendek,Musim Panas,Rp1.800.000,100ml
Opium,Yves Saint Laurent,EDP,Oriental Spicy,Mandarin,Jasmine,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp1.900.000,50ml
Cool Water,Davidoff,EDT,Aquatic Aromatic,Sea Water,Lavender,Musk,Sedang,Sedang,Musim Panas,Rp800.000,125ml
Poison,Dior,EDT,Oriental Floral,Plum,Tuberose,Opoponax,Sangat Kuat,Sangat Lama,Malam Hari,Rp1.700.000,50ml
L'Eau d'Issey,Issey Miyake,EDT,Aquatic Floral,Lotus,Freesia,Musk,Sedang,Sedang,Musim Panas,Rp1.300.000,100ml
Guilty,Gucci,EDT,Oriental Floral,Pink Pepper,Lilac,Patchouli,Kuat,Lama,Semua Musim,Rp1.600.000,75ml
Eternity,Calvin Klein,EDP,Floral Green,Freesia,Sage,Sandalwood,Sedang,Sedang,Musim Semi,Rp1.200.000,100ml
212,Carolina Herrera,EDT,Floral Woody Musk,Bergamot,Gardenia,Sandalwood,Sedang,Sedang,Semua Musim,Rp1.400.000,60ml
Obsession,Calvin Klein,EDP,Oriental Spicy,Vanilla,Basil,Amber,Kuat,Lama,Musim Dingin,Rp1.300.000,100ml
Burberry Brit,Burberry,EDP,Oriental Gourmand,Lime,Peony,Vanilla,Sedang,Sedang,Musim Gugur,Rp1.500.000,50ml
Armani Code,Giorgio Armani,EDT,Oriental Spicy,Bergamot,Olive Blossom,Tonka Bean,Kuat,Lama,Malam Hari,Rp1.700.000,75ml
Bright Crystal,Versace,EDT,Floral Aquatic,Yuzu,Magnolia,Musk,Sedang,Sedang,Musim Panas,Rp1.400.000,90ml
Fahrenheit,Dior,EDT,Leather Woody,Violet Leaf,Nutmeg,Leather,Kuat,Lama,Musim Dingin,Rp1.600.000,100ml
Hypnotic Poison,Dior,EDT,Oriental Vanilla,Bitter Almond,Jasmine,Vanilla,Kuat,Lama,Musim Dingin,Rp1.800.000,50ml
Boss Bottled,Hugo Boss,EDT,Woody Spicy,Apple,Cinnamon,Sandalwood,Sedang,Sedang,Semua Musim,Rp1.300.000,100ml
Daisy,Marc Jacobs,EDT,Floral Woody,Strawberry,Violet,Musk,Ringan,Pendek,Musim Semi,Rp1.200.000,50ml
Polo Blue,Ralph Lauren,EDT,Aromatic Aquatic,Melon,Basil,Suede,Sedang,Sedang,Musim Panas,Rp1.400.000,125ml
Narciso Rodriguez for Her,Narciso Rodriguez,EDT,Floral Woody Musk,Peach,Rose,Musk,Kuat,Lama,Semua Musim,Rp1.700.000,50ml
Acqua di Gioia,Giorgio Armani,EDP,Aquatic Floral,Mint,Jasmine,Cedar,Sedang,Sedang,Musim Panas,Rp1.500.000,50ml
Dior Homme,Dior,EDT,Woody Floral Musk,Iris,Lavender,Cocoa,Sedang,Sedang,Semua Musim,Rp1.800.000,100ml
Olympéa,Paco Rabanne,EDP,Oriental Floral,Green Mandarin,Ginger Flower,Vanilla,Kuat,Lama,Semua Musim,Rp1.600.000,50ml
Spicebomb,Viktor & Rolf,EDT,Oriental Spicy,Bergamot,Cinnamon,Tobacco,Kuat,Lama,Musim Dingin,Rp1.700.000,90ml
Chloe,Chloe,EDP,Floral,Peony,Rose,Cedar,Kuat,Lama,Musim Semi,Rp1.800.000,75ml
Oud Wood,Tom Ford,EDP,Woody Oriental,Rosewood,Cardamom,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.500.000,50ml
Bamboo,Gucci,EDP,Floral Woody,Bergamot,Ylang-Ylang,Sandalwood,Sedang,Sedang,Musim Semi,Rp1.600.000,75ml
Eros Flame,Versace,EDP,Oriental Woody,Lemon,Rosemary,Vanilla,Kuat,Lama,Musim Dingin,Rp1.700.000,100ml
Libre,Yves Saint Laurent,EDP,Floral Oriental,Lavender,Orange Blossom,Vanilla,Kuat,Lama,Semua Musim,Rp2.000.000,50ml
Acqua di Gio Profumo,Giorgio Armani,EDP,Aquatic Aromatic,Marine Notes,Incense,Patchouli,Kuat,Lama,Semua Musim,Rp2.200.000,75ml
My Burberry,Burberry,EDP,Floral,Sweet Pea,Geranium,Patchouli,Kuat,Lama,Musim Semi,Rp1.900.000,90ml
Invictus Legend,Paco Rabanne,EDP,Aquatic Woody,Grapefruit,Bay Leaf,Guaiac Wood,Kuat,Lama,Musim Panas,Rp1.600.000,100ml
Bloom,Gucci,EDP,Floral,Rangoon Creeper,Tuberose,Jasmine,Kuat,Lama,Musim Semi,Rp2.100.000,50ml
The Scent,Hugo Boss,EDT,Oriental Fruity,Ginger,Lavender,Leather,Sedang,Sedang,Semua Musim,Rp1.500.000,100ml
Idôle,Lancôme,EDP,Floral Chypre,Pear,Rose,Vanilla,Kuat,Lama,Semua Musim,Rp1.800.000,50ml
Ombré Leather,Tom Ford,EDP,Leather,Cardamom,Jasmine,Leather,Kuat,Lama,Musim Dingin,Rp2.800.000,100ml
Pure XS,Paco Rabanne,EDT,Oriental Spicy,Thyme,Cinnamon,Vanilla,Kuat,Lama,Malam Hari,Rp1.500.000,100ml
Gabrielle,Chanel,EDP,Floral,Grapefruit,Tuberose,Sandalwood,Kuat,Lama,Semua Musim,Rp2.400.000,50ml
Y,Yves Saint Laurent,EDT,Aromatic Fougere,Bergamot,Sage,Cedar,Kuat,Lama,Semua Musim,Rp1.700.000,100ml
Nomade,Chloé,EDP,Chypre Fruity,Mirabelle,Freesia,Oak Moss,Sedang,Sedang,Musim Gugur,Rp1.800.000,75ml
Stronger With You,Emporio Armani,EDT,Oriental Spicy,Cardamom,Sage,Vanilla,Kuat,Lama,Musim Dingin,Rp1.600.000,100ml
Mon Paris,Yves Saint Laurent,EDP,Fruity Chypre,Strawberry,Peony,Patchouli,Kuat,Lama,Semua Musim,Rp1.900.000,90ml
L'Interdit,Givenchy,EDP,Floral Woody,Orange Blossom,Tuberose,Patchouli,Kuat,Lama,Malam Hari,Rp2.000.000,50ml
Acqua di Gio Profondo,Giorgio Armani,EDP,Aquatic Aromatic,Marine Notes,Incense,Amber,Kuat,Lama,Musim Panas,Rp2.100.000,75ml
Good Girl Légère,Carolina Herrera,EDP,Oriental Floral,Ylang-Ylang,Tuberose,Dulce de Leche,Sedang,Sedang,Musim Semi,Rp1.700.000,50ml
Sauvage Parfum,Dior,Parfum,Aromatic Spicy,Bergamot,Star Anise,Vanilla,Sangat Kuat,Sangat Lama,Semua Musim,Rp2.500.000,100ml
La Vie Est Belle Intensément,Lancôme,EDP,Gourmand Floral,Pink Pepper,Orange Blossom,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.200.000,50ml
Bleu de Chanel Parfum,Chanel,Parfum,Woody Aromatic,Lemon,Lavender,Sandalwood,Kuat,Lama,Semua Musim,Rp2.600.000,100ml
Gucci Guilty Absolute,Gucci,EDP,Leather Woody,Leather,Cypress,Patchouli,Kuat,Lama,Musim Dingin,Rp2.000.000,90ml
Flowerbomb Nectar,Viktor & Rolf,EDP,Oriental Floral,Bergamot,Orange Blossom,Vanilla,Sangat Kuat,Sangat Lama,Malam Hari,Rp2.300.000,50ml
Eros Flame 2,Versace,EDP,Woody Spicy,Mandarin,Rosemary,Tonka Bean,Kuat,Lama,Musim Dingin,Rp1.800.000,100ml
Bright Crystal Absolu,Versace,EDP,Floral Fruity,Yuzu,Magnolia,Musk,Kuat,Lama,Musim Panas,Rp1.900.000,90ml
La Nuit Trésor,Lancôme,EDP,Oriental Gourmand,Pear,Vanilla Orchid,Patchouli,Kuat,Lama,Malam Hari,Rp2.100.000,75ml
Acqua di Parma Oud,Acqua di Parma,EDP,Woody Spicy,Bergamot,Coriander,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.000.000,100ml
Olympéa Intense,Paco Rabanne,EDP,Oriental Floral,Orange Blossom,Cedar,Vanilla,Sangat Kuat,Sangat Lama,Malam Hari,Rp1.900.000,80ml
Terre d'Hermès Eau Intense Vétiver,Hermès,EDP,Woody Spicy,Orange,Sichuan Pepper,Vetiver,Kuat,Lama,Musim Gugur,Rp2.200.000,100ml
Black Opium Nuit Blanche,Yves Saint Laurent,EDP,Coffee Floral,White Coffee,Orange Blossom,Vanilla,Kuat,Lama,Malam Hari,Rp2.000.000,50ml
Armani Code Absolu,Giorgio Armani,EDP,Oriental Spicy,Green Mandarin,Orange Blossom,Tonka Bean,Kuat,Lama,Malam Hari,Rp2.100.000,110ml
Miss Dior Blooming Bouquet,Dior,EDT,Floral,Peony,Rose,White Musk,Sedang,Sedang,Musim Semi,Rp1.800.000,100ml
Oud Wood Intense,Tom Ford,EDP,Woody Oriental,Angelica,Cypress,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.000.000,50ml
L'Homme Idéal,Guerlain,EDP,Oriental Woody,Bergamot,Almond,Leather,Kuat,Lama,Semua Musim,Rp1.900.000,100ml
Alien Fusion,Mugler,EDP,Oriental Spicy,Ginger,Cinnamon,White Amber,Sangat Kuat,Sangat Lama,Malam Hari,Rp2.200.000,60ml
Acqua di Giò Absolu,Giorgio Armani,EDP,Woody Aquatic,Marine Notes,Patchouli,Incense,Kuat,Lama,Musim Panas,Rp2.000.000,75ml
Burberry Her,Burberry,EDP,Fruity Floral,Strawberry,Violet,Musk,Kuat,Lama,Musim Semi,Rp1.800.000,100ml
1 Million Privé,Paco Rabanne,EDP,Oriental Woody,Cinnamon,Tobacco,Myrrh,Kuat,Lama,Musim Dingin,Rp1.700.000,100ml
Chanel Gabrielle Essence,Chanel,EDP,Floral,Jasmine,Ylang-Ylang,Sandalwood,Kuat,Lama,Semua Musim,Rp2.500.000,50ml
Boss The Scent Private Accord,Hugo Boss,EDP,Oriental Fruity,Coffee,Cocoa,Vanilla,Kuat,Lama,Malam Hari,Rp1.800.000,100ml
Libre Intense,Yves Saint Laurent,EDP,Floral Oriental,Lavender,Orange Blossom,Vanilla,Sangat Kuat,Sangat Lama,Semua Musim,Rp2.200.000,50ml
Spicebomb Extreme,Viktor & Rolf,EDP,Oriental Spicy,Black Pepper,Lavender,Tobacco,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.000.000,90ml
My Way,Giorgio Armani,EDP,Floral,Orange Blossom,Tuberose,Vanilla,Kuat,Lama,Semua Musim,Rp2.100.000,90ml
Twilly d'Hermès,Hermès,EDP,Floral Spicy,Ginger,Tuberose,Sandalwood,Sedang,Sedang,Musim Semi,Rp2.000.000,85ml
Ombré Leather Parfum,Tom Ford,Parfum,Leather,Violet Leaf,Jasmine,Leather,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.200.000,100ml
Invictus Victory,Paco Rabanne,EDP,Oriental Woody,Lemon,Lavender,Amber,Kuat,Lama,Semua Musim,Rp1.800.000,100ml
Gucci Flora Gorgeous Gardenia,Gucci,EDP,Floral Fruity,Pear,Gardenia,Patchouli,Kuat,Lama,Musim Semi,Rp2.000.000,100ml
Dior Joy,Dior,EDP,Floral Woody,Bergamot,Rose,Sandalwood,Kuat,Lama,Musim Semi,Rp2.300.000,90ml
Le Male Le Parfum,Jean Paul Gaultier,EDP,Oriental Fougere,Cardamom,Lavender,Vanilla,Sangat Kuat,Sangat Lama,Malam Hari,Rp1.900.000,125ml
Idôle L'Intense,Lancôme,EDP,Floral Chypre,Bergamot,Rose,Vanilla,Kuat,Lama,Semua Musim,Rp2.000.000,50ml
Y Eau Fraîche,Yves Saint Laurent,EDT,Aromatic Fougere,Lemon,Geranium,Cedar,Sedang,Sedang,Musim Panas,Rp1.600.000,100ml
Nomade Absolu,Chloé,EDP,Chypre Floral,Mirabelle,Jasmine,Oak Moss,Kuat,Lama,Musim Gugur,Rp2.100.000,75ml
